iteration,learning_rate,n_estimators,max_depth,subsample,min_child_weight,reg_alpha,reg_lambda,colsample_bynode,colsample_bytree,num_parallel_tree,max_delta_step,min_correlation,z_score,score
5,0.09556747803551811,152,5,0.4049529956767789,2.0081850329438535,0.1991436858822637,0.6997469750228841,0.4012351010113187,0.5983800761483888,4,3,0.025566909640518182,3.044957105345074,-0.6704635041857593
0,0.091,150,4,0.4,2.0,0.2,0.7,0.4,0.6,3,3,0.02,3.0,-0.670192813380508
4,0.0903636602275208,151,5,0.3959928035035898,2.046980906774675,0.2015314003579794,0.6967090958513604,0.3985815216696953,0.6025068614121846,4,3,0.010768508529454695,3.0134274057957335,-0.6695470827582215
9,0.09345870766124507,149,5,0.40138921076231315,2.0391554437225676,0.20180055569463415,0.6994919773821837,0.4047857092842072,0.5961620190961239,4,3,0.023508781624004722,2.974979627565498,-0.6670681419309266
8,0.09434947232825845,151,5,0.3976473016428345,1.9897820752758628,0.20052821479887573,0.6966494046024188,0.39869808092748343,0.5964644176272911,4,4,0.015769528740970574,2.9933288061982046,-0.6661458021314468
6,0.0925015910324769,145,5,0.4017365963083579,2.0471945002499665,0.20378193471347178,0.7000962437671989,0.3955571469370161,0.5995115921452092,3,3,0.029591734576254573,2.9859444463969322,-0.6655046050097944
3,0.09123684635676103,153,4,0.3997360041934666,1.968633234332676,0.2023691817712896,0.6971655035442437,0.39635218173405456,0.5982414100779321,3,3,0.01772977962251724,3.0402598475529405,-0.6636931969636917
2,0.09428449072409915,148,5,0.3986824153984055,2.0457155158953046,0.19640350780412646,0.7037008725835843,0.3997360804527371,0.6030091075197964,4,4,0.024412653094518337,3.0082019792075108,-0.6632298918563768
7,0.09067176567855742,152,5,0.40418235466362146,1.9716822137627543,0.20065188866604877,0.7036510256130538,0.4000896896066702,0.6041672295401946,4,3,0.01555437122562065,2.9509356704856535,-0.6630489777212059
1,0.09179526667120426,153,5,0.4034725173878413,2.012356369678597,0.198843817072927,0.6979753460654446,0.39556712977317443,0.5977265629458011,3,4,0.019599543447501148,2.989278479610083,-0.6612049273858129
10,0.08901470610039627,155,5,0.40159668412069416,2.0033206253916647,0.1973053302350633,0.6989486929345022,0.4011880856459136,0.5997486751540894,3,4,0.015759820087265612,2.9883462225034947,-0.6586752759177683
10,0.09295802371080336,153.0,5.0,0.4089133795518697,2.022077140566984,0.20305923025452047,0.7015475307175182,0.4007270783935024,0.603165785432596,5.0,3.0,0.030907383711692726,3.0361391192415588,-0.6719604439426176
9,0.09691905581038758,155.0,5.0,0.40178490929685007,2.0168363264248614,0.1943447613441386,0.7030363753150577,0.39628205577324416,0.6001582415163511,5.0,3.0,0.030270790082970088,3.091175959856818,-0.6706121677913247
0,0.09556747803551813,152.0,5.0,0.4049529956767789,2.008185032943853,0.1991436858822637,0.6997469750228841,0.4012351010113187,0.5983800761483888,4.0,3.0,0.025566909640518186,3.044957105345074,-0.6704635041857593
4,0.09661968137589394,153.0,5.0,0.4038178854880375,2.048444880496793,0.19864318578137596,0.7008776096017254,0.40525858684305854,0.5943728796519786,5.0,4.0,0.028629710356476944,3.012048063858679,-0.6667501969332874
2,0.09611915476363173,156.0,6.0,0.4033269572809516,2.023002220148973,0.1978261012806692,0.7043185266124146,0.39763860881544516,0.6020809487319732,5.0,3.0,0.03158512468011108,3.0470048533001948,-0.6656729978398346
5,0.09402924040823246,154.0,6.0,0.4035901033862051,2.0152047099856407,0.19852970101688688,0.7046307134034764,0.397255549118799,0.5954688437093372,5.0,3.0,0.028629076149826158,3.0202862655990526,-0.6651046887101048
7,0.10027241384032289,156.0,5.0,0.40972060655868225,2.0186695849183574,0.20153632167624672,0.6951388529454273,0.3990631706370828,0.5945820417605205,5.0,4.0,0.017941464019603066,3.026755423284472,-0.6648009696696048
6,0.0951004458021979,149.0,6.0,0.4033330718251678,2.025660265169755,0.19731570330295664,0.7025304298431432,0.40573081154582613,0.6000053448178893,4.0,3.0,0.028023831551451578,3.062323068428653,-0.662035686041796
11,0.10030138247647596,157.0,5.0,0.40591953971859185,1.9717035755470609,0.20236058103595708,0.7001005052510819,0.4050062341425651,0.6009189516683268,5.0,3.0,0.034166184618358526,3.050656558330934,-0.6615075596840754
8,0.09458344860263644,148.0,5.0,0.40560488434282765,2.0446952890743915,0.19923337548893383,0.7039142045630787,0.4054466771136907,0.5942112010746948,4.0,4.0,0.015754043737648837,3.079191313311847,-0.6603236667220533
3,0.0972414224892333,154.0,6.0,0.40138652855086937,2.0526519246488113,0.19936216909976442,0.6988935944227893,0.398880657132365,0.6011224130427311,5.0,3.0,0.02693558861789116,2.99683608538871,-0.6600703965421166
1,0.09636913943143413,155.0,6.0,0.40540182750674786,2.0005505128777434,0.20060262701293025,0.699122847135511,0.4051528310191395,0.6030167037533991,4.0,4.0,0.03140141040217148,3.0478465973203646,-0.6590058264587615
