feature,full,without,only,diff,action
var9,-0.6526223959283225,-0.6548254200171503,-0.0,-0.0022030240888277763,drop
var22,-0.6526223959283225,-0.6544619804000595,-0.07605810096196201,-0.0018395844717370435,drop
var58,-0.6526223959283225,-0.6544588443390271,-0.18652407401261378,-0.0018364484107046275,drop
var25,-0.6526223959283225,-0.6541404157524278,-0.0,-0.0015180198241052656,drop
var17,-0.6526223959283225,-0.6540652736163193,-0.062482046731811715,-0.0014428776879967797,drop
var20,-0.6526223959283225,-0.6539676388018181,-0.0,-0.001345242873495578,drop
var44,-0.6526223959283225,-0.6538759375352636,-0.0,-0.0012535416069411331,drop
var6,-0.6526223959283225,-0.6536382926260969,-0.3165795167981558,-0.0010158966977743544,drop
var41,-0.6526223959283225,-0.6533498216407265,-0.0,-0.0007274257124040284,drop
var46,-0.6526223959283225,-0.6533119666234742,-0.0034819135588513702,-0.0006895706951517422,drop
var68,-0.6526223959283225,-0.6528093162980095,-0.005483454763325539,-0.00018692036968703807,drop
var18,-0.6526223959283225,-0.6526223959283225,-0.0,0.0,drop
var31,-0.6526223959283225,-0.6526223959283225,-0.0,0.0,drop
var56,-0.6526223959283225,-0.6524091867657179,-0.19000061824034056,0.00021320916260458844,
var29,-0.6526223959283225,-0.6522897305020817,-0.0,0.00033266542624077466,
var11,-0.6526223959283225,-0.6518858794901963,-0.17117573051397142,0.0007365164381262224,
var2,-0.6526223959283225,-0.6517559371556144,-0.02477070752831812,0.0008664587727080786,
var32,-0.6526223959283225,-0.6516437408548351,-0.0,0.0009786550734873778,
var42,-0.6526223959283225,-0.6512639867158888,-0.08907724883762783,0.0013584092124336866,
var28,-0.6526223959283225,-0.651077860213564,-0.0,0.0015445357147585437,
var47,-0.6526223959283225,-0.6509948243752003,-0.006044912697235,0.001627571553122209,
var48,-0.6526223959283225,-0.6507852357522033,-0.002094257847190689,0.0018371601761192347,
var43,-0.6526223959283225,-0.6507634083942507,-0.0013513513513513512,0.0018589875340717654,
var50,-0.6526223959283225,-0.6502508379941473,-0.0,0.0023715579341752058,
var10,-0.6526223959283225,-0.6502081476287775,-0.0055495754941100785,0.002414248299544952,
var40,-0.6526223959283225,-0.6500734013974642,-0.01956592837622536,0.0025489945308583284,
var16,-0.6526223959283225,-0.649984368774357,-0.08171419588091336,0.0026380271539655498,
var64,-0.6526223959283225,-0.649814260429959,-0.12130147726635307,0.002808135498363451,
var49,-0.6526223959283225,-0.6494600102163444,-0.0,0.003162385711978133,
var21,-0.6526223959283225,-0.6494185158641889,-0.18293865523445008,0.003203880064133635,
var27,-0.6526223959283225,-0.6493427124717003,-0.0,0.0032796834566222177,
var39,-0.6526223959283225,-0.6493326759522456,-0.0013937282229965157,0.0032897199760768547,
var34,-0.6526223959283225,-0.6487522011411421,-0.08268555561048961,0.0038701947871804254,
var23,-0.6526223959283225,-0.6482951723684721,-0.0,0.004327223559850379,
var57,-0.6526223959283225,-0.6482450932790738,-0.0,0.004377302649248738,
var19,-0.6526223959283225,-0.6480863139555396,-0.11002206635495515,0.004536081972782879,
var45,-0.6526223959283225,-0.6480602553800072,-0.004838368079895716,0.004562140548315274,
var5,-0.6526223959283225,-0.6477908282371329,-0.3549423687771624,0.004831567691189642,
var62,-0.6526223959283225,-0.6477886290770898,-0.16422962534494667,0.0048337668512327125,
var51,-0.6526223959283225,-0.6477531611429271,-0.0,0.00486923478539536,
var12,-0.6526223959283225,-0.6476080018723156,-0.18948444788600463,0.005014394056006899,
var54,-0.6526223959283225,-0.6474528923583645,-0.3532632669607818,0.005169503569958045,
var35,-0.6526223959283225,-0.6473841634807345,-0.10262357556007125,0.0052382324475880315,
var13,-0.6526223959283225,-0.6473107323957041,-0.164351073759079,0.00531166353261836,
var14,-0.6526223959283225,-0.6471214834135759,-0.0,0.005500912514746603,
id,-0.6526223959283225,-0.647110684652449,-0.11532757453599504,0.005511711275873465,
var61,-0.6526223959283225,-0.646844045425373,-0.14377593793943225,0.005778350502949503,
var38,-0.6526223959283225,-0.6463391818992513,-0.000690846286701209,0.006283214029071171,
var30,-0.6526223959283225,-0.6461412558440804,-0.0,0.006481140084242054,
var52,-0.6526223959283225,-0.6461145023910898,-0.12137975329824849,0.00650789353723269,
var67,-0.6526223959283225,-0.6460091954389037,-0.002063103914911802,0.0066132004894188245,
var7,-0.6526223959283225,-0.6455799711741048,-0.0,0.00704242475421768,
var63,-0.6526223959283225,-0.6454311964243035,-0.12721866610676905,0.00719119950401903,
var53,-0.6526223959283225,-0.645331161334059,-0.28178222596636915,0.007291234594263507,
var26,-0.6526223959283225,-0.645275678150309,-0.0006993006993006993,0.007346717778013545,
var15,-0.6526223959283225,-0.6451214312011322,-0.08108225570664049,0.007500964727190307,
var59,-0.6526223959283225,-0.645118165957139,-0.1914186669696163,0.007504229971183496,
var37,-0.6526223959283225,-0.6448620107346592,-0.0020893973176581873,0.007760385193663288,
var24,-0.6526223959283225,-0.6447074423831416,-0.0,0.007914953545180903,
var36,-0.6526223959283225,-0.6444952474304726,-0.0006993006993006993,0.008127148497849901,
var33,-0.6526223959283225,-0.6443288856367536,-0.0,0.008293510291568884,
var1,-0.6526223959283225,-0.6416401040110731,-0.022610512401442948,0.01098229191724942,
var3,-0.6526223959283225,-0.6407345625513442,-0.1755208648704431,0.011887833376978296,
var55,-0.6526223959283225,-0.6390010500470236,-0.11988555091455273,0.01362134588129893,
var8,-0.6526223959283225,-0.6004584731608078,-0.47200672223495077,0.05216392276751469,
var4,-0.6526223959283225,-0.5529949975516163,-0.5991421427278588,0.0996273983767062,
